,0,300,400,500,600
0,0,3.06E-06,4.00E-06,5.19E-06,6.66E-06
0.5,0,3.09E-06,4.03E-06,5.22E-06,6.69E-06
1,0,3.12E-06,4.06E-06,5.25E-06,6.72E-06
1.5,0,3.15E-06,4.09E-06,5.28E-06,6.75E-06
2,0,3.19E-06,4.13E-06,5.32E-06,6.79E-06
2.5,0,3.23E-06,4.17E-06,5.36E-06,6.83E-06
3,0,3.28E-06,4.22E-06,5.40E-06,6.88E-06
3.5,0,3.34E-06,4.28E-06,5.47E-06,6.94E-06
4,0,3.42E-06,4.36E-06,5.55E-06,7.03E-06
4.5,0,3.51E-06,4.45E-06,5.65E-06,7.22E-06
5,0,3.62E-06,4.57E-06,5.82E-06,7.77E-06
5.5,0,3.75E-06,4.74E-06,6.20E-06,9.06E-06
6,0,3.92E-06,5.08E-06,7.10E-06,1.13E-05
6.5,0,4.20E-06,5.77E-06,8.69E-06,1.43E-05
7,0,4.71E-06,6.87E-06,1.08E-05,1.77E-05
7.5,0,5.51E-06,8.38E-06,1.34E-05,2.16E-05
8,0,6.63E-06,1.02E-05,1.63E-05,2.57E-05
8.5,0,8.00E-06,1.24E-05,1.95E-05,3.01E-05
9,0,9.56E-06,1.48E-05,2.28E-05,3.47E-05
9.5,0,1.13E-05,1.73E-05,2.64E-05,3.95E-05
10,0,1.32E-05,2.01E-05,3.01E-05,4.44E-05
10.5,0,1.52E-05,2.29E-05,3.40E-05,4.96E-05
11,0,1.73E-05,2.59E-05,3.81E-05,5.48E-05
